Rank,Company,Total Income (Cr),Net Income (Cr),Profit (Cr),Profit % of Revenue,Cash Balance (Cr),Total Debt (Cr),Total Assets (Cr),Net Worth (Cr),RONW%,ROCE%,Employees,Avg M-Cap (Cr),TSR%
480,Gallantt Ispat,4270,4227,225,5.3%,12,462,2927,2451,9.6%,11.9%,417,6460,215.7%
481,Himadri Speciality Chemical,4264,4185,411,9.6%,731,605,3657,3046,15.4%,18.8%,920,19830,94.3%
482,Tetra-Pak India,4261,4375,293,6.9%,75,260,855,568,55.9%,42.2%,NAVL,NAP,NAP
483,ESAF Small Finance Bank,4260,3818,426,10%,1423,23090,26087,2492,20.2%,1.8%,5967,2937,-43.7%
484,Power Mech Projects,4231,4207,248,5.9%,480,396,2506,1838,16%,21.5%,4681,8390,23.2%
485,3M India,4219,4189,583,13.8%,1358,18,2198,2147,30.5%,39.8%,935,37873,5.6%
486,Honeywell Automation India,4199,4058,501,11.9%,2823,60,3687,3606,14.8%,19.7%,3096,40208,13.1%
487,Remedium Lifecare,4189,4042,33,0.8%,2,58,101,43,122.8%,99.5%,NAVL,781,-76.2%
488,Radico Khaitan,4188,4119,262,6.3%,101,818,3258,2440,11.3%,13.1%,1469,23808,55.2%
489,RSWM,4179,4058,-21,NAP,8,1890,3211,1297,NAP,-0.5%,18622,962,-2.7%
490,Prime Focus,4167,3951,-405,NAP,142,4859,5793,516,NAP,0%,NAVL,3644,15%
491,Prithvi Exchange India,4163,4161,13,0.3%,22,1,45,43,35.1%,45.4%,203,232,192.3%
492,Transrail Lighting,4163,4074,233,5.6%,224,643,1862,1139,24.2%,34%,NAVL,NAP,NAP
493,Kirloskar Brothers,4161,4001,348,8.4%,293,192,2036,1719,21.8%,26.3%,1594,11858,124.7%
494,BEML,4149,4054,282,6.8%,9,71,3620,2668,11.1%,11.7%,1870,15097,65.4%
495,Transport Corporation of India,4146,4024,351,8.5%,96,194,2239,2004,19.1%,20%,4728,7260,29.7%
496,Cochin Shipyard,4140,3830,783,18.9%,3864,502,5551,5003,16.6%,21.1%,805,37837,140.1%
497,Strides Pharma Science,4130,4051,-71,NAP,191,2517,4694,2126,NAP,0%,2364,8910,179.6%
498,Route Mobile,4129,4023,375,9.1%,757,378,2611,2150,19.6%,20.7%,492,9921,-9.6%
499,Gandhar Oil Refinery India,4126,4113,141,3.4%,277,271,1499,1172,17.3%,22.3%,381,2240,-30.9%
500,Jubilant Ingrevia,4118,4136,183,4.4%,80,740,3543,2737,6.8%,9.6%,1959,8939,54.2%
